Area,Brandid,Categoryid,Categoryname,Createdat,EXPBucket,Expdate,Holdstatus,Isgoodstock,Isskwh,Location,Menuid,Menuname,PID,Productname,Producttype,Rackid,Status,Whid,Whname,Inventory Cost,Inventory Profit,Inventory Value,MRP,Number of Records,Purchaseprice,QTY,ShelfLife,Shelflife,Zero
DOCKAR-WMF0,BR1234,C1234,BASIC PHONES,02-07-2017,<30,15-01-2020,CONFIRMED,True,Y,DOCK,C1234,MOBILES & TABLETS,PR12345,ZIOX,NORMAL,RACK-1,AVAILABLE,WMF0,BANGALORE WAREHOUSE,140000,10000,150000,1500,1,1400,100,-265,60,0
NORMALAR-WMF1,BR1252,C45678,SOAP,15-04-2018,<30,12-03-2020,PROCESSING,False,Y,NORMAL,C1234,PERSONAL CARE,PR13534,SANTOOR,NORMAL,RACK-1,NOT AVAILABLE,WMF1,HYDERABAD WAREHOUSE,0,0,0,200,1,150,0,-208,7,0
NORMALAR-WMF2,BR9163,C1234,SMART PHONE,15-04-2018,<30,10-01-2020,CONFIRMED,True,Y,NORMAL,C1234,MOBILES & TABLETS,PR12363,XIOMI REDMI NOTE4,NORMAL,RACK-1,AVAILABLE,WMF2,VIJAYAWADA WAREHOUSE,1000000,149900,1149900,11499,1,10000,100,-270,12,0
DOCKAR-WMF3,BR3563,C1245,FACE WASH,15-04-2018,<30,19-07-2020,CONFIRMED,True,Y,DOCK,C1234,PERSONAL CARE,PR12631,PATANJALI FACE WASH,NORMAL,RACK-1,AVAILABLE,WMF0,BANGALORE WAREHOUSE,10000,5000,15000,300,1,200,50,-79,10,0
DOCKAR-WMF4,BR8361,C1273,TALCUM POWDER,15-04-2018,60-90,14-12-2020,CONFIRMED,True,Y,DOCK,C1234,PERSONAL CARE,PR12523,WHITE FACE POWDER,NORMAL,RACK-1,AVAILABLE,WMF1,HYDERABAD WAREHOUSE,10000,5000,15000,300,1,200,50,69,50,0
DOCKAR-WMF5,BR3532,C9372,TOOTH PASTE,15-04-2018,60-90,12-12-2020,PROCESSING,True,Y,DOCK,C9372,PERSONAL CARE,PR07352,DANTKANTI PATANJALI,NORMAL,RACK-1,AVAILABLE,WMF2,VIJAYAWADA WAREHOUSE,7500,2500,10000,200,1,150,50,67,10,0
DOCKAR-WMF6,BR1328,C1252,SMART PHONE,15-04-2018,<30,29-12-2019,PROCESSING,True,Y,DOCK,C1252,MOBILES & TABLETS,PR12533,XIOMI REDMI NOTE4,NORMAL,RACK-1,AVAILABLE,WMF0,BANGALORE WAREHOUSE,1000000,149900,1149900,11499,1,10000,100,-282,15,0
DOCKAR-WMF7,BR3147,C1296,SMART PHONE,02-07-2017,<30,30-12-2019,PROCESSING,True,Y,DOCK,C1296,MOBILES & TABLETS,PR12623,XIOMI REDMI NOTE5,NORMAL,RACK-1,AVAILABLE,WMF1,HYDERABAD WAREHOUSE,1000000,149900,1149900,11499,1,10000,100,-281,20,0
DOCKAR-WMF8,BR9362,C1532,BASIC PHONES,02-07-2017,30-60,12-11-2020,PROCESSING,True,Y,DOCK,C1296,MOBILES & TABLETS,PR73261,ZIOX,NORMAL,RACK-1,AVAILABLE,WMF2,VIJAYAWADA WAREHOUSE,140000,10000,150000,1500,1,1400,100,37,40,0
DOCKAR-WMF9,BR9387,C1873,BASIC PHONES,02-07-2017,30-60,12-11-2020,PROCESSING,True,Y,DOCK,C1296,MOBILES & TABLETS,PR98365,ZIOX,NORMAL,RACK-1,AVAILABLE,WMF0,BANGALORE WAREHOUSE,140000,10000,150000,1500,1,1400,100,37,150,0
NORMALAR-WMF10,BR1253,C7251,BASIC PHONES,02-07-2017,30-60,12-11-2020,CONFIRMED,True,Y,NORMAL,C1296,MOBILES & TABLETS,PR76358,ZIOX,NORMAL,RACK-1,NOT AVAILABLE,WMF1,HYDERABAD WAREHOUSE,0,0,0,1500,1,1400,0,37,170,0
NORMALAR-WMF11,BR0937,C5331,BASIC PHONES,02-07-2017,30-60,12-11-2020,CONFIRMED,True,Y,NORMAL,C1296,MOBILES & TABLETS,PR98634,ZIOX,NORMAL,RACK-1,NOT AVAILABLE,WMF2,VIJAYAWADA WAREHOUSE,0,0,0,1500,1,1400,0,37,150,0
NORMALAR-WMF12,BR1238,C1623,BASIC PHONES,02-07-2017,30-60,12-11-2020,CONFIRMED,True,Y,NORMAL,C1296,MOBILES & TABLETS,PR98763,ZIOX,NORMAL,RACK-3,NOT AVAILABLE,WMF0,BANGALORE WAREHOUSE,0,0,0,1500,1,1400,0,37,12,0
NORMALAR-WMF13,BR9863,C7263,TALCUM POWDER,02-07-2017,<30,10-01-2020,CONFIRMED,True,Y,NORMAL,C7263,PERSONAL CARE,PR83512,WHITE FACE POWDER,NORMAL,RACK-2,AVAILABLE,WMF1,HYDERABAD WAREHOUSE,200000,100000,300000,300,1,200,1000,-270,15,0
NORMALAR-WMF14,BR8311,C8326,TALCUM POWDER,02-07-2017,<30,10-01-2020,CONFIRMED,True,Y,NORMAL,C8326,PERSONAL CARE,PR97634,WHITE FACE POWDER,NORMAL,RACK-4,AVAILABLE,WMF2,VIJAYAWADA WAREHOUSE,200000,100000,300000,300,1,200,1000,-270,20,0
NORMALAR-WMF15,BR9873,C2533,TALCUM POWDER,02-07-2017,<30,10-01-2020,CONFIRMED,True,Y,NORMAL,C2533,PERSONAL CARE,PR98315,WHITE FACE POWDER,NORMAL,RACK-2,AVAILABLE,WMF0,BANGALORE WAREHOUSE,200000,100000,300000,300,1,200,1000,-270,365,0
NORMALAR-WMF16,BR0362,C1623,FACE WASH,02-07-2017,<30,10-01-2020,CONFIRMED,False,Y,NORMAL,C1623,PERSONAL CARE,PR98964,PONDS FACE WASH,COMBO,RACK-2,DAMAGED,WMF1,HYDERABAD WAREHOUSE,3000,1000,4000,400,1,300,10,-270,450,0
